A	'ə	 ə 
endeutament	ə n d ə w t ə m 'e n	 ə n d 'ɛ w t ə m 'e n 
endiablada	ə n d i ə b b l 'a ð ə	 ə n d i 'a b b l 'a ð ə 
endiablades	ə n d i ə b b l 'a ð ə s	 ə n d i 'a b b l 'a ð ə s 
endiablar	ə n d i ə b b l 'a	 ə n d i 'a b b l 'a 
endiablat	ə n d i ə b b l 'a t	 ə n d i 'a b b l 'a t 
endiablats	ə n d i ə b b l 'a t s	 ə n d i 'a b b l 'a t s 
endinsar	ə n d i n z 'a	 ə n d i n s 'a 
endinsat	ə n d i n z 'a t	 ə n d i n s 'a t 
enduriment	ə n d u ɾ i m 'e n	 ə n d 'u ɾ i m 'e n 
ene	'e n ə	 'ɛ n ə 
enemistar	ə n ə m i s t 'a	 ə n 'ɛ m i s t 'a 
enemistat	ə n ə m i s t 'a t	 ə n 'ɛ m i s t 'a t 
Engiadina	ə n ʒ i ə ð 'i n ə	 ə n ʒ 'i ə ð 'i n ə 
enginyeria	ə n ʒ i ɲ ə ɾ 'i ə	 ə n ʒ 'i ɲ ə ɾ 'i ə 
enhorabona	ə n u ɾ ə β 'ɔ n ə	 ə n u ɾ ə β 'o n ə 
enlairament	ə n l ə j ɾ ə m 'e n	 ə n l 'a j ɾ ə m 'e n 
enmig	ə m m 'i t ʃ	 ə n m 'i ə 
enorme	ə n 'o r m ə	 ə n 'ɔ r m ə 
enormes	ə n 'o r m ə s	 ə n 'ɔ r m ə s 
enquesta	ə ŋ k 'e s t ə	 ə ŋ k 'ɛ s t ə 
enregistrament	ə n r ə ʒ i s t ɾ ə m 'e n	 ə n r ə ʒ 'i s t ɾ ə m 'e n 
enreixar	ə n r ə ʃ 'a	 ə n r ə i ʃ 'a 
enrenou	ə n r ə n 'ɔ w	 ə n r ə n 'o 
enrere	ə n r 'e ɾ ə	 ə n r 'ɛ ɾ ə 
enriquiment	ə n r i k i m 'e n	 ə n r 'i k i m 'e n 
ens	'ə n s	 ə n s 
ensenyament	ə n s ə ɲ ə m 'e n	 ə n s 'ɛ ɲ ə m 'e n 
entendre	ə n t 'e n d ɾ ə	 ə n t 'ɛ n d ɾ ə 
enteniment	ə n t ə n i m 'e n	 ə n t 'ɛ n i m 'e n 
enter	ə n t 'e r	 ə n t 'e 
enterrament	ə n t ə r ə m 'e n	 ə n t 'ɛ r ə m 'e n 
entre	'e n t ɾ ə	 'ɛ n t ɾ ə 
entrebanc	ə n t ɾ ə β 'a ŋ	 ə n t ɾ ə β 'a ŋ k 
entremaliadura	ə n t ɾ ə m ə l i ə ð 'u ɾ ə	 ə n t ɾ ə m ə l 'i ə ð 'u ɾ ə 
entren	'e n t ɾ ə n	 'ɛ n t ɾ ə n 
entrenament	ə n t ɾ ə n ə m 'e n	 ə n t ɾ 'ɛ n ə m 'e n 
entres	'e n t ɾ ə s	 'ɛ n t ɾ ə s 
entreteniment	ə n t ɾ ə t ə n i m 'e n	 ə n t ɾ ə t 'ɛ n i m 'e n 
entri	'e n t ɾ i	 'ɛ n t ɾ i 
entrin	'e n t ɾ i n	 'ɛ n t ɾ i n 
entris	'e n t ɾ i s	 'ɛ n t ɾ i s 
entro	'e n t ɾ u	 'ɛ n t ɾ u 
entusiasmada	ə n t u z i ə z m 'a ð ə	 ə n t u z i 'a z m 'a ð ə 
entusiasmades	ə n t u z i ə z m 'a ð ə s	 ə n t u z i 'a z m 'a ð ə s 
entusiasmadís	ə n t u z i ə z m ə ð 'i s	 ə n t u z i 'a z m ə ð 'i s 
entusiasmat	ə n t u z i ə z m 'a t	 ə n t u z i 'a z m 'a t 
entusiasmats	ə n t u z i ə z m 'a t s	 ə n t u z i 'a z m 'a t s 
enuig	ə n 'u t ʃ	 ə n 'u ʃ 
envelliment	ə m b ə ʎ i m 'e n	 ə m b 'ɛ ʎ i m 'e n 
enverinament	ə m b ə ɾ i n ə m 'e n	 ə m b ə ɾ 'i n ə m 'e n 
envers	ə m b 'ɛ r s	 ə m b 'e s 
Èol	'ɛ u l	 'ɛ 'ɔ l 
Eos	'ɛ u s	 'ɛ 'ɔ s 
ep	'e p	 'ɛ p 
epicens	ə p i s 'ɛ n s	 ə p i k 'e n s 
equidistant	ə k i ð i s t 'a n	 ə k 'i ð i s t 'a n 
equilibrista	ə k i l i β ɾ 'i s t ə	 ə k i l 'i β ɾ 'i s t ə 
equipament	ə k i p ə m 'e n	 ə k 'i p ə m 'e n 
equivaler	ə k i β ə l 'ɛ	 ə k i β ə l 'e 
equivoco	ə k i β 'o k u	 ə k i β 'ɔ k u 
érem	'e ɾ ə m	 'e ɾ 'ɛ m 
eren	'e ɾ ə n	 'ɛ ɾ ə n 
éreu	'e ɾ ə w	 'e ɾ 'ɛ w 
erra	'e r ə	 'ɛ r ə 
errabund	ə r ə β 'u n	 ə r ə β 'u n d 
erres	'e r ə s	 'ɛ r ə s 
erroni	ə r 'ɔ n i	 ə r 'o n i 
error	ə r 'o r	 ə r 'o 
es	'ə s	 ə s 
esbiaixada	ə z β i ə ʃ 'a ð ə	 ə z β i 'a ʃ 'a ð ə 
esbiaixar	ə z β i ə ʃ 'a	 ə z β i 'a ʃ 'a 
escaig	ə s k 'a t ʃ	 ə s k 'a ʃ 
escairada	ə s k ə j ɾ 'a ð ə	 ə s k ə i ɾ 'a ð ə 
escairades	ə s k ə j ɾ 'a ð ə s	 ə s k ə i ɾ 'a ð ə s 
escairar	ə s k ə j ɾ 'a	 ə s k ə i ɾ 'a 
escairat	ə s k ə j ɾ 'a t	 ə s k ə i ɾ 'a t 
escairats	ə s k ə j ɾ 'a t s	 ə s k ə i ɾ 'a t s 
escalens	ə s k ə l 'ɛ n s	 ə s k ə l 'e n s 
escalfament	ə s k ə l f ə m 'e n	 ə s k 'a l f ə m 'e n 
escàner	ə s k 'a n ə	 ə s k 'a n ə r 
escapament	ə s k ə p ə m 'e n	 ə s k 'a p ə m 'e n 
escletxa	ə s k l 'e t ʃ ə	 ə s k l 'ɛ t ʃ ə 
escolar	ə s k u l 'a r	 ə s k u l 'a 
escolta	ə s k 'o l t ə	 ə s k 'ɔ l t ə 
escombra	ə s k 'o m b ɾ ə	 ə s k 'ɔ m b ɾ ə 
escombriaire	ə s k u m b ɾ i 'a j ɾ ə	 ə s k u m b ɾ i 'a 'i ɾ ə 
escórrer	ə s k 'o r ə	 ə s k 'o r 'e 
escridassar	ə s k ɾ i ð ə s 'a	 ə s k ɾ 'i ð ə s 'a 
escriptura	ə s k ɾ i p t 'u ɾ ə	 ə s k ɾ 'i p t 'u ɾ ə 
escrot	ə s k ɾ 'o t	 ə s k ɾ 'ɔ t 
escultura	ə s k u l t 'u ɾ ə	 ə s k 'u l t 'u ɾ ə 
esdeveniment	ə z ð ə β ə n i m 'e n	 ə z ð ə β 'ɛ n i m 'e n 
esfinx	ə s f 'i n ʃ	 ə s f 'i n 
esfondrament	ə s f u n d ɾ ə m 'e n	 ə s f 'ɔ n d ɾ ə m 'e n 
esforç	ə s f 'ɔ r s	 ə s f 'o r s 
esglai	ə z ɣ l 'a j	 ə z ə l 'a i 
esgotament	ə z ɣ u t ə m 'e n	 ə z ɣ 'ɔ t ə m 'e n 
esguard	ə z ɣ w 'a r t	 ə z ɣ u 'a r t 
esguerro	ə z ɣ 'ɛ r u	 ə z ɣ u 'ɛ r u 
esment	ə z m 'e n	 'e z m 'e n 
espagueti	ə s p ə ɣ 'ɛ t i	 ə s p ə ɣ u 'ɛ t i 
espai	ə s p 'a j	 ə s p 'a i 
espais	ə s p 'a j s	 ə s p 'a i s 
espart	ə s p 'a r	 ə s p 'a r t 
espectacular	ə s p ə k t ə k u l 'a r	 ə s p ə k t ə k u l 'a 
espectre	ə s p 'e k t ɾ ə	 ə s p 'ɛ k t ɾ ə 
esperançador	ə s p ə ɾ ə n s ə ð 'o	 ə s p ə ɾ 'a n s ə ð 'o 
espicassar	ə s p i k ə s 'a	 ə s p 'i k ə s 'a 
espinavessa	ə s p i n ə β 'ɛ s ə	 ə s p i n ə β 'e s ə 
esplai	ə s p l 'a j	 ə s p l 'a i 
esplèndid	ə s p l 'ɛ n d i t	 ə s p l 'ɛ n d i ð 
espona	ə s p 'ɔ n ə	 ə s p 'o n ə 
espondilodiscitis	ə s p u n d i l u ð i s 'i t i s	 ə s p u n d i l 'ɔ ð i s 'i t i s 
espontaneïtat	ə s p u n t ə n ə i t 'a t	 ə s p u n t 'a n ə i t 'a t 
esposa	ə s p 'ɔ z ə	 ə s p 'o z ə 
esprémer	ə s p ɾ 'e m ə	 ə s p ɾ 'e m 'e 
espurnejada	ə s p u r n ə ʒ 'a ð ə	 ə s p 'u r n ə ʒ 'a ð ə 
espurnejades	ə s p u r n ə ʒ 'a ð ə s	 ə s p 'u r n ə ʒ 'a ð ə s 
espurnejar	ə s p u r n ə ʒ 'a	 ə s p 'u r n ə ʒ 'a 
espurnejat	ə s p u r n ə ʒ 'a t	 ə s p 'u r n ə ʒ 'a t 
espurnejats	ə s p u r n ə ʒ 'a t s	 ə s p 'u r n ə ʒ 'a t s 
esqueix	ə s k 'ɛ ʃ	 ə s k 'e ʃ 
esquellerinc	ə s k ə ʎ ə ɾ 'i ŋ	 ə s k ə ʎ ə ɾ 'i ŋ k 
esquetx	ə s k 'e t ʃ	 ə s k 'ɛ t ʃ 
esquiu	ə s k 'i w	 ə s k 'i u 
essa	'ɛ s ə	 'e s ə 
esser	ə s 'ɛ	 ə s 'e 
ésser	'e s ə r	 'e s ə 
est	'e s t	 'ɛ s t 
esta	'e s t ə	 'ɛ s t ə 
estabeig	ə s t ə β 'ɛ t ʃ	 ə s t ə β 'ɛ ʃ 
establar	ə s t ə b b l 'a	 ə s t 'a b b l 'a 
establert	ə s t ə b b l 'ɛ r t	 ə s t 'a b b l 'ɛ r t 
establerta	ə s t ə b b l 'ɛ r t ə	 ə s t 'a b b l 'ɛ r t ə 
establertes	ə s t ə b b l 'ɛ r t ə s	 ə s t 'a b b l 'ɛ r t ə s 
establerts	ə s t ə b b l 'ɛ r s	 ə s t 'a b b l 'ɛ r t s 
establiment	ə s t ə b b l i m 'e n	 ə s t 'a b b l i m 'e n 
estai	ə s t 'a j	 ə s t 'a i 
estament	ə s t ə m 'e n	 'ɛ s t ə m 'e n 
estancament	ə s t ə ŋ k ə m 'e n	 ə s t 'a ŋ k ə m 'e n 
estàndard	ə s t 'a n d ə r t	 ə s t 'a n d ə r 
estatunidenc	ə s t ə t u n i ð 'ɛ ŋ	 ə s t ə t u n i ð 'ɛ n s 
estendre	ə s t 'e n d ɾ ə	 ə s t 'ɛ n d ɾ ə 
Ester	ə s t 'e r	 ə s t 'e 
estetoscopi	ə s t ə t u s k 'ɔ p i	 ə s t 'ɛ t u s k 'ɔ p i 
estirament	ə s t i ɾ ə m 'e n	 ə s t 'i ɾ ə m 'e n 
estiregassada	ə s t i ɾ ə ɣ ə s 'a ð ə	 ə s t i ɾ 'ɛ ɣ ə s 'a ð ə 
estiregassar	ə s t i ɾ ə ɣ ə s 'a	 ə s t i ɾ 'ɛ ɣ ə s 'a 
estiueig	ə s t i w 'ɛ t ʃ	 ə s t i u 'ɛ ʃ 
estiuejada	ə s t i w ə ʒ 'a ð ə	 ə s t 'i w ə ʒ 'a ð ə 
estiuejades	ə s t i w ə ʒ 'a ð ə s	 ə s t 'i w ə ʒ 'a ð ə s 
estiuejar	ə s t i w ə ʒ 'a	 ə s t 'i w ə ʒ 'a 
estiuejat	ə s t i w ə ʒ 'a t	 ə s t 'i w ə ʒ 'a t 
estiuejats	ə s t i w ə ʒ 'a t s	 ə s t 'i w ə ʒ 'a t s 
estiuenc	ə s t i w 'ɛ ŋ	 ə s t i w 'ɛ n s 
estofa	ə s t 'o f ə	 ə s t 'ɔ f ə 
estoig	ə s t 'ɔ t ʃ	 ə s t 'ɔ 'i ə 
estómac	ə s t 'o m ə k	 ə s t 'o m 'a k 
estos	'e s t u s	 'ɛ s t u s 
estramoni	ə s t ɾ ə m 'ɔ n i	 ə s t ɾ ə m 'o n i 
estrateg	ə s t ɾ ə t 'ɛ k	 ə s t ɾ ə t 'ɛ g 
estructura	ə s t ɾ u k t 'u ɾ ə	 ə s t ɾ 'u k t 'u ɾ ə 
estudiantil	ə s t u ð i ə n t 'i l	 ə s t u ð i 'a n t 'i l 
esverament	ə z β ə ɾ ə m 'e n	 ə z β 'ɛ ɾ ə m 'e n 
esvoranc	ə z β u ɾ 'a ŋ	 ə z β u ɾ 'a n s 
ètnia	'ɛ d n i ə	 'ɛ t n i ə 
etnòleg	ə d n 'ɔ l ə k	 ə t n 'ɔ l ə k 
etnòlegs	ə d n 'ɔ l ə k s	 ə t n 'ɔ l ə k s 
etnòloga	ə d n 'ɔ l u ɣ ə	 ə t n 'ɔ l u ɣ ə 
ets	'e t s	 'ɛ t s 
eufoni	ə w f 'ɔ n i	 ə u f 'o n i 
Eulàlia	ə w l 'a l i ə	 ə u l 'a l i ə 
Eurídice	ə w ɾ 'i ð i s ə	 ə u ɾ 'i ð i s ə 
èuscar	'ɛ w s k ə r	 'ɛ w s k 'a 
evangelitzar	ə β ə n ʒ ə l i d z 'a	 ə β 'a n ʒ ə l i d z 'a 
evidentment	ə β i ð ə m m 'e n	 ə β i ð 'e n ə m 'e n 
evolucionis	ə β u l u s i 'ɔ n i s	 ə β u l u s i 'o n i s 
excepte	ə k s 'e p t ə	 ə k s 'ɛ p t ə 
exclosa	ə k s k l 'ɔ z ə	 ə k s k l 'o z ə 
excloses	ə k s k l 'ɔ z ə s	 ə k s k l 'o z ə s 
exclosos	ə k s k l 'ɔ z u s	 ə k s k l 'o z u s 
experiment	ə k s p ə ɾ i m 'e n	 ə k s p 'ɛ ɾ i m 'e n 
experts	ə k s p 'ɛ r s	 ə k s p 'ɛ r t s 
expiatori	ə k s p i ə t 'ɔ ɾ i	 ə k s p 'i ə t 'ɔ ɾ i 
expresses	ə k s p ɾ 'e s ə s	 ə k s p ɾ 'ɛ s ə s 
expressos	ə k s p ɾ 'e s u s	 ə k s p ɾ 'ɛ s u s 
exsenador	ə k s ə n ə ð 'o	 ə k s s ə n ə ð 'o 
exsoviètic	ə k s u β i 'ɛ t i k	 ə k s s u β i 'ɛ t i k 
exsoviètica	ə k s u β i 'ɛ t i k ə	 ə k s s u β i 'ɛ t i k ə 
exsudar	ə k s u ð 'a	 ə s u ð 'a 
extens	ə k s t 'ɛ n s	 ə k s t 'e n s 
exterior	ə k s t ə ɾ i 'o r	 ə k s t ə ɾ i 'o 
extraatmosfèrica	ə k s t ɾ ə ə d m u s f 'ɛ ɾ i k ə	 ə k s t ɾ ə 'a d m u s f 'ɛ ɾ i k ə 
extraatmosfèrics	ə k s t ɾ ə ə d m u s f 'ɛ ɾ i k s	 ə k s t ɾ ə 'a d m u s f 'ɛ ɾ i k s 
extraatmosfèriques	ə k s t ɾ ə ə d m u s f 'ɛ ɾ i k ə s	 ə k s t ɾ ə 'a d m u s f 'ɛ ɾ i k ə s 
extrem	ə k s t ɾ 'e m	 ə k s t ɾ 'ɛ m 
extrema	ə k s t ɾ 'e m ə	 ə k s t ɾ 'ɛ m ə 
extret	ə k s t ɾ 'e t	 ə k s t ɾ 'ɛ t 
extreta	ə k s t ɾ 'e t ə	 ə k s t ɾ 'ɛ t ə 
extretes	ə k s t ɾ 'e t ə s	 ə k s t ɾ 'ɛ t ə s 
extrets	ə k s t ɾ 'e t s	 ə k s t ɾ 'ɛ t s 
Fàbregas	f 'a β ɾ ə ɣ ə s	 f 'a β ɾ ə ɣ 'a s 
fagosoma	f ə ɣ u z 'ɔ m ə	 f ə ɣ u z 'o m ə 
faig	f 'a t ʃ	 f 'a ʃ 
faldiller	f ə l d i ʎ 'e	 f ə l d 'i ʎ 'e 
familiar	f ə m i l i 'a r	 f ə m i l i 'a 
famolenc	f ə m u l 'ɛ ŋ	 f ə m u l 'ɛ n s 
faquir	f ə k 'i r	 f ə k 'i 
far	f 'a r	 f 'a 
farciment	f ə r s i m 'e n	 f 'a r s i m 'e n 
farigola	f ə ɾ i ɣ 'o l ə	 f ə ɾ i ɣ 'ɔ l ə 
farts	f 'a r s	 f 'a r t s 
fauna	f 'a w n ə	 f 'a 'u n ə 
faune	f 'a w n ə	 f 'a 'u n ə 
favor	f ə β 'o r	 f ə β 'o 
feble	f 'e b b l ə	 f 'ɛ b b l ə 
febles	f 'e b b l ə s	 f 'ɛ b b l ə s 
febre	f 'e β ɾ ə	 f 'ɛ β ɾ ə 
febres	f 'e β ɾ ə s	 f 'ɛ β ɾ ə s 
fecund	f ə k 'u n	 f ə k 'u n d 
fecunds	f ə k 'u n s	 f ə k 'u n d s 
feinada	f ə j n 'a ð ə	 f ə i n 'a ð ə 
feinejar	f ə j n ə ʒ 'a	 f 'ɛ j n ə ʒ 'a 
feiner	f ə j n 'e	 f ə i n 'e 
feldspat	f ə l t s p 'a t	 f 'ɛ l s p 'a t 
fellonia	f ə ʎ u n 'i ə	 f 'e ʎ u n 'i ə 
femellenc	f ə m ə ʎ 'ɛ ŋ	 f ə m ə ʎ 'ɛ n s 
fen	f 'e n	 f 'ɛ n 
fenc	f 'ɛ ŋ	 f 'ɛ n s 
Fènix	f 'ɛ n i k s	 f 'ɛ n ʃ 
fènix	f 'ɛ n i k s	 f 'ɛ n ʃ 
fens	f 'ɛ n s	 f 'e n s 
feren	f 'e ɾ ə n	 f 'ɛ ɾ ə n 
fes	f 'e s	 f 'ɛ s 
Fes	f 'e s	 f 'ɛ s 
fessin	f 'e s i n	 f 'ɛ s i n 
fessis	f 'e s i s	 f 'ɛ s i s 
festa	f 'e s t ə	 f 'ɛ s t ə 
festeig	f ə s t 'ɛ t ʃ	 f ə s t 'ɛ ʃ 
festes	f 'e s t ə s	 f 'ɛ s t ə s 
fet	f 'e t	 f 'ɛ t 
feta	f 'e t ə	 f 'ɛ t ə 
fetes	f 'e t ə s	 f 'ɛ t ə s 
fetge	f 'e d ʒ ə	 f 'ɛ d ʒ ə 
fets	f 'e t s	 f 'ɛ t s 
feudal	f ə w ð 'a l	 f ə u ð 'a l 
fiblonejar	f i b b l u n ə ʒ 'a	 f 'i b b l u n ə ʒ 'a 
figuerenc	f i ɣ ə ɾ 'ɛ ŋ	 f i ɣ ə ɾ 'ɛ n s 
filaberquí	f i l ə β ə r k 'i	 f i l ə β 'ɛ r k 'i 
fímbria	f 'i m b ɾ i ə	 f 'i m b ɾ 'i ə 
finançament	f i n ə n s ə m 'e n	 f i n 'a n s ə m 'e n 
finestra	f i n 'e s t ɾ ə	 f i n 'ɛ s t ɾ ə 
firmament	f i r m ə m 'e n	 f 'i r m ə m 'e n 
flairada	f l ə j ɾ 'a ð ə	 f l ə i ɾ 'a ð ə 
flairades	f l ə j ɾ 'a ð ə s	 f l ə i ɾ 'a ð ə s 
flairar	f l ə j ɾ 'a	 f l ə i ɾ 'a 
flairat	f l ə j ɾ 'a t	 f l ə i ɾ 'a t 
flairats	f l ə j ɾ 'a t s	 f l ə i ɾ 'a t s 
flamenc	f l ə m 'ɛ ŋ	 f l ə m 'ɛ n s 
flamencs	f l ə m 'ɛ ŋ s	 f l ə m 'ɛ ŋ k s 
fletxa	f l 'e t ʃ ə	 f l 'ɛ t ʃ ə 
fletxes	f l 'e t ʃ ə s	 f l 'ɛ t ʃ ə s 
flirtejada	f l i r t ə ʒ 'a ð ə	 f l 'i r t ə ʒ 'a ð ə 
flirtejades	f l i r t ə ʒ 'a ð ə s	 f l 'i r t ə ʒ 'a ð ə s 
flirtejar	f l i r t ə ʒ 'a	 f l 'i r t ə ʒ 'a 
flirtejat	f l i r t ə ʒ 'a t	 f l 'i r t ə ʒ 'a t 
flirtejats	f l i r t ə ʒ 'a t s	 f l 'i r t ə ʒ 'a t s 
flor	f l 'ɔ	 f l 'o 
flora	f l 'ɔ ɾ ə	 f l 'o ɾ ə 
floristeria	f l u ɾ i s t ə ɾ 'i ə	 f l 'ɔ ɾ 'i s t ə ɾ 'i ə 
flors	f l 'ɔ s	 f l 'o s 
fluid	f l 'u j t	 f l 'u j ð 
fluorescència	f l u u ɾ ə s 'ɛ n s i ə	 f l u 'o ɾ ə s 'ɛ n s i ə 
fluorescents	f l u u ɾ ə s 'e n s	 f l u 'o ɾ ə s 'e n s 
fluorur	f l u u ɾ 'u r	 f l u u ɾ 'u 
foca	f 'o k ə	 f 'ɔ k ə 
focus	f 'o k u s	 f 'ɔ k u s 
folla	f 'o ʎ ə	 f 'ɔ ʎ ə 
folles	f 'o ʎ ə s	 f 'ɔ ʎ ə s 
folre	f 'o l r ə	 f 'ɔ l r ə 
folren	f 'ɔ l r ə n	 f 'ɔ l ə n 
foment	f u m 'e n	 f 'ɔ m 'e n 
fonament	f u n ə m 'e n	 f 'ɔ n ə m 'e n 
fonda	f 'o n d ə	 f 'ɔ n d ə 
fondes	f 'o n d ə s	 f 'ɔ n d ə s 
fondo	f 'o n d u	 f 'ɔ n d u 
fondos	f 'o n d u s	 f 'ɔ n d u s 
fondre	f 'o n d ɾ ə	 f 'ɔ n d ɾ ə 
font	f 'ɔ n	 f 'o n 
foques	f 'o k ə s	 f 'ɔ k ə s 
fora	f 'ɔ ɾ ə	 f 'o ɾ ə 
forassenyat	f u ɾ ə s ə ɲ 'a t	 f 'o ɾ 'a s ə ɲ 'a t 
foraster	f u ɾ ə s t 'e	 f 'o ɾ ə s t 'e 
forca	f 'o r k ə	 f 'ɔ r k ə 
foren	f 'o ɾ ə n	 f 'ɔ ɾ ə n 
forma	f 'o r m ə	 f 'ɔ r m ə 
formatgeria	f u r m ə d ʒ ə ɾ 'i ə	 f u r m 'a d ʒ ə ɾ 'i ə 
formen	f 'o r m ə n	 f 'ɔ r m ə n 
formes	f 'o r m ə s	 f 'ɔ r m ə s 
formi	f 'o r m i	 f 'ɔ r m i 
formigueig	f u r m i ɣ 'ɛ t ʃ	 f u r m i ɣ u 'ɛ ʃ 
formin	f 'o r m i n	 f 'ɔ r m i n 
formo	f 'o r m u	 f 'ɔ r m u 
formula	f u r m 'u l ə	 f 'o r m 'u l ə 
forques	f 'o r k ə s	 f 'ɔ r k ə s 
fort	f 'ɔ r t	 f 'o r t 
fortuna	f u r t 'u n ə	 f 'ɔ r t 'u n ə 
fortunes	f u r t 'u n ə s	 f 'ɔ r t 'u n ə s 
fosca	f 'o s k ə	 f 'ɔ s k ə 
foscos	f 'o s k u s	 f 'ɔ s k u s 
foscúria	f u s k 'u ɾ i ə	 f 'ɔ s k 'u ɾ i ə 
fosques	f 'o s k ə s	 f 'ɔ s k ə s 
fossin	f 'o s i n	 f 'ɔ s i n 
fossis	f 'o s i s	 f 'ɔ s i s 
foten	f 'o t ə n	 f 'ɔ t ə n 
foti	f 'o t i	 f 'ɔ t i 
fotin	f 'o t i n	 f 'ɔ t i n 
fotis	f 'o t i s	 f 'ɔ t i s 
foto	f 'o t u	 f 'ɔ t u 
fotos	f 'o t u s	 f 'ɔ t u s 
fotovoltaic	f u t u β u l t 'a j k	 f u t u β u l t 'a i k 
fotovoltaics	f u t u β u l t 'a j k s	 f u t u β u l t 'a 'i k s 
fotovoltaiques	f u t u β u l t 'a j k ə s	 f u t u β u l t 'a i k ə s 
fotre	f 'o t ɾ ə	 f 'ɔ t ɾ ə 
franctirador	f ɾ ə ŋ t i ɾ ə ð 'o	 f ɾ ə ŋ k t i ɾ ə ð 'o 
frankfurt	f ɾ ə ŋ k f 'u r t	 f ɾ ə n ə f 'u r t 
fred	f ɾ 'ɛ t	 f ɾ 'e d 
freixura	f ɾ ə ʃ 'u ɾ ə	 f ɾ 'ɛ ʃ 'u ɾ ə 
frens	f ɾ 'ɛ n s	 f ɾ 'e n s 
freqüentment	f ɾ ə k w ə m m 'e n	 f ɾ ə k w 'e n ə m 'e n 
fressa	f ɾ 'ɛ s ə	 f ɾ 'e s ə 
fuetejada	f u ə t ə ʒ 'a ð ə	 f u 'ɛ t ə ʒ 'a ð ə 
fuetejades	f u ə t ə ʒ 'a ð ə s	 f u 'ɛ t ə ʒ 'a ð ə s 
fuetejar	f u ə t ə ʒ 'a	 f u 'ɛ t ə ʒ 'a 
fuetejat	f u ə t ə ʒ 'a t	 f u 'ɛ t ə ʒ 'a t 
fuetejats	f u ə t ə ʒ 'a t s	 f u 'ɛ t ə ʒ 'a t s 
fuig	f 'u t ʃ	 f 'u ʃ 
funcionament	f u n s i u n ə m 'e n	 f u n s i 'ɔ n ə m 'e n 
funicular	f u n i k u l 'a r	 f u n i k u l 'a 
furibund	f u ɾ i β 'u n	 f u ɾ i β 'u n d 
furor	f u ɾ 'o r	 f u ɾ 'o 
fusterianisme	f u s t ə ɾ i ə n 'i z m ə	 f u s t ə ɾ 'i ə n 'i z m ə 
futur	f u t 'u r	 f u t 'u 
gelosia	ʒ ə l u z 'i ə	 ʒ 'ɛ l u z 'i ə 
gemec	ʒ ə m 'e k	 ʒ ə m 'ɛ k 
gemma	ʒ 'e m m ə	 ʒ 'ɛ m m ə 
Gemma	ʒ 'e m m ə	 ʒ 'ɛ m m ə 
geniüt	ʒ ə n i 'u t	 ʒ ə n 'i 'u t 
geocèntrics	ʒ ə u s 'ɛ n t ɾ i k s	 ʒ ə u s 'ɛ n t ɾ 'i k s 
gerd	ʒ 'ɛ r	 ʒ 'ɛ r t 
gespa	ʒ 'e s p ə	 ʒ 'ɛ s p ə 
gest	ʒ 'e s t	 ʒ 'ɛ s t 
gesta	ʒ 'e s t ə	 ʒ 'ɛ s t ə 
gestes	ʒ 'e s t ə s	 ʒ 'ɛ s t ə s 
gestos	ʒ 'e s t u s	 ʒ 'ɛ s t u s 
ginebra	ʒ i n 'e β ɾ ə	 ʒ i n 'ɛ β ɾ ə 
Ginebra	ʒ i n 'e β ɾ ə	 ʒ i n 'ɛ β ɾ ə 
ginesta	ʒ i n 'e s t ə	 ʒ i n 'ɛ s t ə 
gir	ʒ 'i r	 ʒ 'i 
hàbil	'a β i l	 ə β i l 
hàbit	'a β i t	 ə β i t 
hàbitat	'a β i t ə t	 ə β i t 'a t 
hàbitats	'a β i t ə t s	 ə β i t 'a t s 
hac	'a k	 i 'a k 
hacs	'a k s	 i 'a k s 
hafni	'a f n i	 i 'a f n i 
hagi	'a ʒ i	 i 'a ʒ i 
hàgim	'a ʒ i m	 'ɔ ʒ i m 
hàgiu	'a ʒ i w	 i 'a ʒ i w 
Haia	'a j ə	 ə 'i ə 
haig	'a t ʃ	 ə 'i ə 
Hainan	ə j n 'a n	 ə i n 'a n 
Hainaut	ə j n 'a w t	 ə i n 'a 'u t 
Haití	ə j t 'i	 ə i t 'i 
hala	'a l ə	 i 'a l ə 
halada	ə l 'a ð ə	 i ə l 'a ð ə 
halades	ə l 'a ð ə s	 i ə l 'a ð ə s 
halal	ə l 'a l	 i ə l 'a l 
halat	ə l 'a t	 i ə l 'a t 
halats	ə l 'a t s	 i ə l 'a t s 
halitosi	ə l i t 'ɔ z i	 ə l 'i t 'ɔ z i 
halur	ə l 'u r	 ə l 'u 
hamaca	ə m 'a k ə	 u ə m 'a k ə 
Hamburg	ə m b 'u r k	 ə m b 'u r 
hàmster	'a m s t ə r	 'a m s t 'e 
han	'a n	 i 'a n 
has	'a s	 i 'a s 
hassi	'a s i	 'ɔ s i 
haver	ə β 'ɛ	 ə β 'e 
he	'e	 'ɛ 
hebraic	ə β ɾ 'a j k	 ə β ɾ 'a i k 
Hèbrides	'ɛ β ɾ i ð ə s	 i 'ɛ β ɾ i ð ə s 
Hècate	'ɛ k ə t ə	 'ɛ k 'a t ə 
hectàrea	ə k t 'a ɾ e ə	 ə k t 'a ɾ ə ə 
hedra	'ɛ ð ɾ ə	 i 'ɛ ð ɾ ə 
hegui	'ɛ ɣ i	 i 'ɛ ɣ i 
heguin	'ɛ ɣ i n	 i 'ɛ ɣ i n 
