A	'ə	ə
elèctrode	ə l 'ə t t ɾ o ð ə	ə l 'e t t ɾ o ð ə
eles	'e l ə s	'ə l ə s
Eloi	ə l 'o j	ə l 'o i
eloqüent	ə l o k w 'e n t	ə l o ə w 'e n t
elusiu	ə l u z 'i w	e l u z 'i w
elusius	ə l u z 'i w s	e l u z 'i w s
elusiva	ə l u z 'i v ə	e l u z 'i v ə
elusives	ə l u z 'i v ə s	e l u z 'i v ə s
elxans	ə l ʃ 'a n s	ə ʃ 'a n s
em	'ə m	ə m
emblema	ə m b l 'e m ə	ə m b l 'ə m ə
emboirar	ə m b o j ɾ 'a	ə m b o i ɾ 'a
emfisema	ə m f i z 'e m ə	ə m f i z 'ə m ə
empaitar	ə m p ə j t 'a	ə m p ə i t 'a
empènyer	ə m p 'ə ɲ ə	ə m p ə ɲ 'e 
empiema	ə m p i 'e m ə	ə m p i 'ə m ə
empleat	ə m p l e 'a t	ə m p l ə 'a t
empra	'e m p ɾ ə	'ə m p ɾ ə
empremta	ə m p ɾ 'e n t ə	ə m p ɾ 'e n t ə
empren	'e m p ɾ ə n	'ə m p ɾ ə n
ena	'e n ə	'ə n ə
encendre	ə n s 'e n d ɾ ə	ə n s 'ə n d ɾ ə
endarrere	ə n d ə r 'e ɾ ə	ə n d ə r 'e ɾ ə
ene	'e n ə	'ə n ə
enlairament	ə n l ə j ɾ ə m 'e n t	ə n l ə i ɾ ə m 'e n t
enlletgir	ə n ʎ ə dʒ 'i	ə n ʎ ə tʃ 'i
enmig	ə m m 'i tʃ	ə n m 'i k
enorme	ə n 'o ɾ m ə	ə n 'o ɾ m ə
enormes	ə n 'o ɾ m ə s	ə n 'o ɾ m ə s
enquesta	ə ŋ k 'e s t ə	ə ŋ k 'ə s t ə
ensems	ə n s 'e n s	ə n s 'ə n s
entelèquia	ə n t e l 'ə k i ə	ə n t ə l 'e k i ə
entendre	ə n t 'e n d ɾ ə	ə n t 'ə n d ɾ ə
entren	'e n t ɾ ə n	'ə n t ɾ ə n
entres	'e n t ɾ ə s	'ə n t ɾ ə s
entro	'e n t ɾ o	'ə n t ɾ o
epicens	ə p i s 'ə n s	ə p i s 'e n s
epifonema	ə p i f o n 'e m ə	ə p i f o n 'ə m ə
èpsilon	'ə t s i l o n	e t s i l 'o n
eqüestre	ə k w 'e s t ɾ ə	ə k w 'ə s t ɾ ə
equivaler	ə k i v ə l 'ə	ə k i v ə l 'e
equivoco	ə k i v 'o k o	ə k i v 'o k o
erèctil	ə ɾ 'ə t t i l	ə ɾ 'e t t i l
eren	'e ɾ ə n	'e ɾ ə n
erroni	ə r 'o n i	ə r 'o n i
escaguitxar	ə s k ə ɣ i tʃ 'a	ə s k ə ɣ i t ə 'a
escairar	ə s k ə j ɾ 'a	ə s k ə i ɾ 'a
escairat	ə s k ə j ɾ 'a t	ə s k ə i ɾ 'a t
escairats	ə s k ə j ɾ 'a t s	ə s k ə i ɾ 'a t s
escalens	ə s k ə l 'ə n s	ə s k ə l 'e n s
escàner	ə s k 'a n ə	ə s k 'a n e 
escarabeu	ə s k ə ɾ ə β 'e w	ə s k ə ɾ ə β 'ə w
escèptic	ə t s 'ə t t i k	ə t s 'e t t i k
escèptica	ə t s 'ə t t i k ə	ə t s 'e t t i k ə
escèptics	ə t s 'ə t t i t s	ə t s 'e t t i t s
escèptiques	ə t s 'ə t t i k ə s	ə t s 'e t t i k ə s
escletxa	ə s k l 'e tʃ ə	ə s k l 'ə tʃ ə
escolta	ə s k 'o l t ə	ə s k 'o l t ə
escombra	ə s k 'o m b ɾ ə	ə s k 'o m b ɾ ə
escombriaire	ə s k o m b ɾ i 'a j ɾ ə	ə s k o m b ɾ i ə 'i ɾ ə
escrot	ə s k ɾ 'o t	ə s k ɾ 'o t
esfilagarsada	ə s f i l ə ɣ ə ɾ s 'a ð ə	ə s f i l ə ɣ ə s 'a ð ə
esfilagarsades	ə s f i l ə ɣ ə ɾ s 'a ð ə s	ə s f i l ə ɣ ə s 'a ð ə s
esfilagarsar	ə s f i l ə ɣ ə ɾ s 'a	ə s f i l ə ɣ ə s 'a
esglai	ə z ɣ l 'a j	ə z ə l 'a i
esgüellar	ə z g w ə ʎ 'a	ə z ɣ e ə ʎ 'a
esguerro	ə z ɣ 'e r o	ə z ɣ u 'e r o
esment	ə z m 'e n t	e z m 'e n t
esmorteïts	ə z m o ɾ t ə 'i t s	ə z m o ɾ t ə 'i s
espagueti	ə s p ə ɣ 'e t i	ə s p ə ɣ u 'e t i
espai	ə s p 'a j	ə s p 'a i
espais	ə s p 'a j s	ə s p 'a i s
espècia	ə s p 'ə s i ə	ə s p 'e s i ə
espècie	ə s p 'ə s i ə	ə s p 'e s i ə
espècimen	ə s p 'ə s i m ə n	ə s p 'e s i m ə n
espectre	ə s p 'e t t ɾ ə	ə s p 'e t t ɾ ə
espinavessa	ə s p i n ə v 'ə s ə	ə s p i n ə v 'e s ə
esplai	ə s p l 'a j	ə s p l 'a i
esplèndid	ə s p l 'ə n d i t	ə s p l 'e n d i t
esplèndida	ə s p l 'ə n d i ð ə	ə s p l 'e n d i ð ə
esplèndides	ə s p l 'ə n d i ð ə s	ə s p l 'e n d i ð ə s
esplèndids	ə s p l 'ə n d i t s	ə s p l 'e n d i t s
espona	ə s p 'o n ə	ə s p 'o n ə
espondilodiscitis	ə s p o n d i l o ð i t s 'i t i s	ə s p o n d i l o ð 'i z s 'i t i s
esprémer	ə s p ɾ 'e m ə	ə s p ɾ ə m 'e 
esquetx	ə s k 'e tʃ	ə s k 'ə tʃ
essa	'ə s ə	'e s ə
esser	ə s 'ə	ə s 'e
esta	'e s t ə	'ə s t ə
estai	ə s t 'a j	ə s t 'a i
estendre	ə s t 'e n d ɾ ə	ə s t 'ə n d ɾ ə
estèpic	ə s t 'ə p i k	ə s t 'e p i k
estèpica	ə s t 'ə p i k ə	ə s t 'e p i k ə
estèpics	ə s t 'ə p i t s	ə s t 'e p i t s
estèpiques	ə s t 'ə p i k ə s	ə s t 'e p i k ə s
estiuats	ə s t i w 'a t s	ə s t i w 'a s
estofa	ə s t 'o f ə	ə s t 'o f ə
estoig	ə s t 'o tʃ	ə s t o 'i ə
estómac	ə s t 'o m ə k	ə s t o m 'a k
estramoni	ə s t ɾ ə m 'o n i	ə s t ɾ ə m 'o n i
estranger	ə s t ɾ ə n ʒ 'e	ə s t ɾ ə ŋ g 'e
estratagema	ə s t ɾ ə t ə ʒ 'e m ə	ə s t ɾ ə t ə ʒ 'ə m ə
estrateg	ə s t ɾ ə t 'e k	ə s t ɾ ə t 'ə ʒ
estrènyer	ə s t ɾ 'ə ɲ ə	ə s t ɾ ə ɲ 'e 
ètnia	'e n n i ə	'ə n n i ə
eucaliptus	ə w k ə l 'i t t u s	ə w k ə l i t t 'u s
eufoni	ə w f 'o n i	ə w f 'o n i
evolucionis	ə v o l u s i 'o n i s	ə v o l u s i 'o n i s
exceptuats	ə t s ə t t u 'a t s	ə t s ə t t u 'a s
Èxode	'e t s o ð ə	'ə t s o ð ə
èxode	'e t s o ð ə	'ə t s o ð ə
Fàbregas	f 'a β ɾ ə ɣ ə s	f ə β ɾ ə ɣ 'a s
fagosoma	f ə ɣ o z 'o m ə	f ə ɣ o z 'o m ə
fauna	f 'a w n ə	f ə 'u n ə
faune	f 'a w n ə	f ə 'u n ə
feble	f 'e b b l ə	f 'e b b l ə
febles	f 'e b b l ə s	f 'e b b l ə s
febre	f 'e β ɾ ə	f 'ə β ɾ ə
febres	f 'e β ɾ ə s	f 'ə β ɾ ə s
feinada	f ə j n 'a ð ə	f ə i n 'a ð ə
feinejar	f ə j n ə ʒ 'a	 f e i n ə ʒ 'a
feiner	f ə j n 'e	f ə i n 'e
fen	f 'e n	f 'ə n
fens	f 'ə n s	f 'e n s
feren	f 'e ɾ ə n	f 'e ɾ ə n
Fes	f 'e s	f 'ə s
festa	f 'e s t ə	f 'ə s t ə
festaire	f ə s t 'a j ɾ ə	f ə s t 'a i ɾ ə
festes	f 'e s t ə s	f 'ə s t ə s
feta	f 'e t ə	f 'ə t ə
fetes	f 'e t ə s	f 'ə t ə s
fetge	f 'e dʒ ə	f 'ə dʒ ə
feyen	f 'ə j ə n	f ɲ ə n
fímbria	f 'i m b ɾ i ə	f i m b ɾ 'i ə
finestra	f i n 'e s t ɾ ə	f i n 'ə s t ɾ ə
flairar	f l ə j ɾ 'a	f l ə i ɾ 'a
flairat	f l ə j ɾ 'a t	f l ə i ɾ 'a t
flairats	f l ə j ɾ 'a t s	f l ə i ɾ 'a t s
fleca	f l 'e k ə	f l 'ə k ə
fletxa	f l 'e tʃ ə	f l 'ə tʃ ə
fletxes	f l 'e tʃ ə s	f l 'ə tʃ ə s
foca	f 'o k ə	f 'o k ə
folla	f 'o ʎ ə	f 'o ʎ ə
folles	f 'o ʎ ə s	f 'o ʎ ə s
fonda	f 'o n d ə	f 'o n d ə
fondes	f 'o n d ə s	f 'o n d ə s
fondo	f 'o n d o	f 'o n d o
fondos	f 'o n d o s	f 'o n d o s
fondre	f 'o n d ɾ ə	f 'o n d ɾ ə
fonema	f o n 'e m ə	f o n 'ə m ə
fonen	f 'o n ə n	f 'o n ə n
foques	f 'o k ə s	f 'o k ə s
forca	f 'o ɾ k ə	f 'o ɾ k ə
foren	f 'o ɾ ə n	f 'o ɾ ə n
forma	f 'o ɾ m ə	f 'o ɾ m ə
formatget	f o ɾ m ə dʒ 'ə t	f o ɾ m ə tʃ 'ə t
formen	f 'o ɾ m ə n	f 'o ɾ m ə n
formes	f 'o ɾ m ə s	f 'o ɾ m ə s
formo	f 'o ɾ m o	f 'o ɾ m o
forques	f 'o ɾ k ə s	f 'o ɾ k ə s
fosca	f 'o s k ə	f 'o s k ə
foscos	f 'o s k o s	f 'o s k o s
fosques	f 'o s k ə s	f 'o s k ə s
foten	f 'o t ə n	f 'o t ə n
foto	f 'o t o	f 'o t o
fotos	f 'o t o s	f 'o t o s
fotovoltaiques	f o t o v o l t 'a j k ə s	f o t o v o l t 'a i k ə s
fotre	f 'o t ɾ ə	f 'o t ɾ ə
franctirador	f ɾ ə ŋ t t i ɾ ə ð 'o	f ɾ ə n s t i ɾ ə ð 'o
frecs	f ɾ 'e t s	f ɾ 'ə t s
fregapeus	f ɾ ə ɣ ə p 'e w s	f ɾ ə ɣ ə p ə 'u s
frenen	f ɾ 'e n ə n	f ɾ 'ə n ə n
frens	f ɾ 'ə n s	f ɾ 'e n s
fresi	f ɾ 'e z i	f ɾ 'ə z i
fresis	f ɾ 'e z i s	f ɾ 'ə z i s
fressin	f ɾ 'ə s i n	f ɾ 'e s i n
fúmer	f 'u m ə	f u m 'e 
gaia	g 'a j ə	g 'a i ə
gaiata	g ə j 'a t ə	g ə i 'a t ə
gaiato	g ə j 'a t o	g ə i 'a t o
gaies	g 'a j ə s	g 'a i ə s
gaire	g 'a j ɾ ə	g 'a i ɾ ə
gaires	g 'a j ɾ ə s	g 'a i ɾ ə s
gaita	g 'a j t ə	g 'a i t ə
gaiter	g ə j t 'e	g ə i t 'e
galilea	g ə l i l 'e ə	g ə l i l 'e ə
galindaina	g ə l i n d 'a j n ə	g ə l i n d 'a i n ə
galindaines	g ə l i n d 'a j n ə s	g ə l i n d 'a i n ə s
garriguenc	g ə r i ɣ 'ə ŋ k	g ə r i ɣ u 'e ŋ k
gasoil	g ə z 'o j l	g ə z o 'i l
gemec	ʒ ə m 'e k	ʒ ə m 'e k
gemma	ʒ 'e m m ə	ʒ 'ə m m ə
Gemma	ʒ 'e m m ə	ʒ 'ə m m ə
gemmes	ʒ 'e m m ə s	ʒ 'ə m m ə s
gènere	ʒ 'e n ə ɾ ə	ʒ 'ə n ə ɾ ə
Gènesi	ʒ 'e n ə z i	ʒ 'ə n ə z i
gènesi	ʒ 'e n ə z i	ʒ 'ə n ə z i
genísser	ʒ ə n 'i s ə	ʒ ə n i s 'e 
gespa	ʒ 'e s p ə	ʒ 'ə s p ə
gest	ʒ 'e s t	ʒ 'ə s t
gesta	ʒ 'e s t ə	ʒ 'ə s t ə
gesten	ʒ 'ə s t ə n	ʒ 'e s t ə n
gestes	ʒ 'e s t ə s	ʒ 'e s t ə s
gesto	ʒ 'ə s t o	ʒ 'e s t o
gestos	ʒ 'e s t o s	ʒ 'e s t o s
gimcana	ʒ i ŋ k 'a n ə	ʒ i m k 'a n ə
ginebra	ʒ i n 'e β ɾ ə	ʒ i n 'ə β ɾ ə
Ginebra	ʒ i n 'e β ɾ ə	ʒ i n 'ə β ɾ ə
ginesta	ʒ i n 'e s t ə	ʒ i n 'ə s t ə
girientorn	ʒ i ɾ i ə n t 'o n	ʒ i ɾ i ə n t 'o ɾ n
glosa	g l 'o z ə	g l 'o z ə
gloses	g l 'o z ə s	g l 'o z ə s
goècia	g o 'e s i ə	g o t s i ə
golfa	g 'o l f ə	g 'o l f ə
golfes	g 'o l f ə s	g 'o l f ə s
gorg	g 'o ɾ k	g 'o ɾ ə
gossa	g 'o s ə	g 'o s ə
gossos	g 'o s o s	g 'o s o s
gota	g 'o t ə	g 'o t ə
gotes	g 'o t ə s	g 'o t ə s
grandiosa	g ɾ ə n d i 'o z ə	g ɾ ə n d i 'o s ə
granuloma	g ɾ ə n u l 'o m ə	g ɾ ə n u l 'o m ə
gratuïts	g ɾ ə t u 'i t s	g ɾ ə t u 'i s
gregues	g ɾ 'ə ɣ ə s	g ɾ 'e ɣ ə s
greuge	g ɾ 'e w ʒ ə	g ɾ 'e w ʒ ə
gronxa	g ɾ 'o n ʃ ə	g ɾ 'o n ʃ ə
guaiaba	g w ə j 'a β ə	g w ə i 'a β ə
guaita	g w 'a j t ə	g w ə 'i t ə
guaità	g w ə j t 'a	g w ə i t 'a
guaitar	g w ə j t 'a	g w ə i t 'a
guaitat	g w ə j t 'a t	g w ə i t 'a t
guaito	g w 'a j t o	g w 'a i t o
guatla	g w 'a l l ə	g w 'a t l ə
guèiser	g 'e j z ə	g 'ə i z ə
guerra	g 'e r ə	g w 'e r ə
guerxa	g 'e ɾ ʃ ə	g w 'e ɾ ʃ ə
guerxo	g 'e ɾ ʃ o	g w 'e ɾ ʃ o
guia	g 'i ə	g w 'i ə
guilla	g 'i ʎ ə	g w 'i ʎ ə
guinda	g 'i n d ə	g w 'i n d ə
guio	g 'i o	g w 'i o
Guissona	g i s 'o n ə	g i s 'o n ə
guitza	g 'i d z ə	g w 'i d z ə
Gujarat	g u ʒ ə ɾ 'a t	g w ʒ ə ɾ 'a t
gujarati	g u ʒ ə ɾ 'a t i	g w ʒ ə ɾ 'a t i
gustatiu	g u s t ə t 'i w	g w s t ə t 'i w
gustatori	g u s t ə t 'o ɾ i	g w s t ə t 'o ɾ i
hàbitat	'a β i t ə t	a β i t 'a t
hàbitats	'a β i t ə t s	a β i t 'a t s
Hades	'a ð ə s	i 'a ð ə s
haguda	ə ɣ 'u ð ə	a ɣ 'u ð ə
hagudes	ə ɣ 'u ð ə s	a ɣ 'u ð ə s
hagut	ə ɣ 'u t	a ɣ 'u t
haguts	ə ɣ 'u t s	a ɣ 'u t s
Haia	'a j ə	a 'i ə
Hainan	ə j n 'a n	ə i n 'a n
Hainaut	ə j n 'a w t	ə i n ə 'u t
haver	ə v 'ə	ə v 'e
hebraic	ə β ɾ 'a j k	ə β ɾ 'a i k
Hècate	'e k ə t ə	e k 'a t ə
helicotrema	ə l i k o t ɾ 'e m ə	ə l i k o t ɾ 'ə m ə
hemangioma	ə m ə n ʒ i 'o m ə	ə m ə n ʒ i 'o m ə
Hèrcules	'e ɾ k u l ə s	ə ɾ k u l ə s
heroi	ə ɾ 'o j	ə ɾ 'o i
heroic	ə ɾ 'o j k	ə ɾ o 'i k
hèrptil	'e ɾ t t i l	e ɾ t t 'i l
heura	'e w ɾ ə	ə 'u ɾ ə
heure	'ə w ɾ ə	ə 'u ɾ ə
heus	'e w s	e 'u s
hevea	ə v 'e ə	ə v 'e ə
híbrid	'i β ɾ i t	ə β ɾ i t
hidroelèctrica	i ð ɾ o ə l 'e t t ɾ i k ə	i ð ɾ o ə l ə t t ɾ 'i k ə
hidroelèctrics	i ð ɾ o ə l 'e t t ɾ i t s	i ð ɾ o ə l ə t t ɾ 'i t s
hieràtic	j ə ɾ 'a t i k	i ə ɾ 'a t i k
hieràtics	j ə ɾ 'a t i t s	i ə ɾ 'a t i t s
higiene	i ʒ i 'e n ə	i ʒ i 'ə n ə
hipèrbaton	i p 'e ɾ β ə t o n	i p ə ɾ β ə t 'o n
hiperespai	i p ə ɾ ə s p 'a j	i p ə ɾ ə s p 'a i
hiperespais	i p ə ɾ ə s p 'a j s	i p ə ɾ ə s p 'a i s
home	'o m o	'o m ə
homes	'o m ə s	ə m ə s
hora	'o ɾ ə	ə ɾ ə
hores	'o ɾ ə s	ə ɾ ə s
hort	'o ɾ t	ə ɾ t
horta	'o ɾ t ə	ə ɾ t ə
hortènsia	o ɾ t 'e n s i ə	o ɾ t 'ə n s i ə
i	'i	i
iaia	j 'a j ə	i 'a j ə
iaies	j 'a j ə s	i 'a j ə s
iaio	j 'a j o	i 'a i o
iarda	j 'a ɾ ð ə	i 'a ɾ ð ə
idea	i ð 'e ə	i ð 'e ə
idealisme	i ð e ə l 'i z m ə	i ð ə ə l 'i z m ə
idealista	i ð e ə l 'i s t ə	i ð ə ə l 'i s t ə
iemenita	j ə m ə n 'i t ə	i ə m ə n 'i t ə
immens	i m m 'ə n s	i m m 'e n s
imparell	i m p ə ɾ 'ə ʎ	i m p ə ɾ 'e ʎ
impermeable	i m p ə ɾ m e 'a b b l ə	i m p ə ɾ ə e 'a b b l ə
impermeables	i m p ə ɾ m e 'a b b l ə s	i m p ə ɾ ə e 'a b b l ə s
ímpetu	'i m p ə t u	i m p 'ə t 'u
imposes	i m p 'o z ə s	i m p 'o z ə s
indignada	i n d i n n 'a ð ə	i n d i ə n 'a ð ə
indignades	i n d i n n 'a ð ə s	i n d i ə n 'a ð ə s
indignar	i n d i n n 'a	i n d i ə n 'a
indistingible	i n d i s t i n ʒ 'i b b l ə	i n d i s t i ŋ g 'i b b l ə
indústria	i n d 'u s t ɾ i ə	i n d u s t ɾ 'i ə
ingent	i n ʒ 'e n t	i ŋ g 'e n t
ininterromput	i n i n t ə r o m p 'u t	i n i n t ə r 'o m p 'u t
insubstancial	i n s u p s t ə n s i 'a l	i n s u t s t ə n s i 'a l
insulinoma	i n s u l i n 'o m ə	i n s u l i n 'o m ə
intens	i n t 'ə n s	i n t 'e n s
intèrpret	i n t 'e ɾ p ɾ ə t	i n t ə ɾ p ɾ 'ə t
interrompre	i n t ə r 'o m p ɾ ə	i n t ə r 'o m p ɾ ə
introduïts	i n t ɾ o ð u 'i t s	i n t ɾ o ð u 'i s
iònica	j 'o n i k ə	i 'o n i k ə
irremeiable	i r ə m ə j 'a b b l ə	i r ə m ə i 'a b b l ə
isòbar	i z 'o β ə	i z o β 'a
Ístria	'i s t ɾ i ə	i s t ɾ 'i ə
Iugoslàvia	j u ɣ o z l 'a v i ə	i w ɣ o z l 'a v i ə
jamai	ʒ ə m 'a j	ʒ ə m 'a i
jaquits	ʒ ə k 'i t s	ʒ ə k 'i s
jazz	ʒ 'a s	ʒ 'a z ə
jersei	ʒ ə ɾ s 'ə j	ʒ ə ɾ s 'ə i
Jesús	ʒ ə z 'u s	ʒ ə s 'u s
jeure	ʒ 'ə w ɾ ə	ʒ 'e w ɾ ə
joiós	ʒ o j 'o s	ʒ o i 'o s
jou	ʒ 'o w	ʒ 'o
jove	ʒ 'o v ə	ʒ 'o v ə
jóvens	ʒ 'o v ə n s	ʒ o v 'e n s
jueu	ʒ u 'e w	ʒ u 'e w
juntaire	ʒ u n t 'a j ɾ ə	ʒ u n t 'a i ɾ ə
júnyer	ʒ 'u ɲ ə	ʒ u ɲ 'e 
kàiser	k 'a j z ə	k 'a i z ə
Kuwait	k u β 'a j t	k u β 'a i t
la	l 'ə	l ə
lacrosse	l ə k ɾ 'o s ə	l ə k ɾ 'o s ə
laiques	l 'a j k ə s	l 'a i k ə s
làser	l 'a z ə	l 'a z e 
lepra	l 'e p ɾ ə	l 'ə p ɾ ə
les	l 'ə s	l ə s
lèxica	l 'e t s i k ə	l 'ə t s i k ə
lèxiques	l 'e t s i k ə s	l 'ə t s i k ə s
líber	l 'i β ə	l 'i β e 
líder	l 'i ð ə	l 'i ð e 
linear	l i n e 'a	l i n ə 'a
liquar	l i k w 'a	l i k 'a
liquidàmbar	l i k i ð 'a m b ə	l i k i ð ə m b 'a
lisosoma	l i z o z 'o m ə	l i z o z 'o m ə
llagosta	ʎ ə ɣ 'o s t ə	ʎ ə ɣ 'o s t ə
llarg	ʎ 'a ɾ k	ʎ 'a ɾ ə
llauna	ʎ 'a w n ə	ʎ ə 'u n ə
llebre	ʎ 'e β ɾ ə	ʎ 'ə β ɾ ə
llega	ʎ 'e ɣ ə	ʎ 'ə ɣ ə
Lleida	ʎ 'e j ð ə	ʎ 'ə j ð ə
lleixa	ʎ 'e ʃ ə	ʎ 'ə ʃ ə
llenci	ʎ 'e n s i	ʎ 'ə n s i
llencin	ʎ 'e n s i n	ʎ 'ə n s i n
llencis	ʎ 'e n s i s	ʎ 'ə n s i s
llenços	ʎ 'e n s o s	ʎ 'e n s o s
llenya	ʎ 'e ɲ ə	ʎ 'ə ɲ ə
llepa	ʎ 'e p ə	ʎ 'ə p ə
llepen	ʎ 'e p ə n	ʎ 'ə p ə n
llesta	ʎ 'e s t ə	ʎ 'ə s t ə
llestes	ʎ 'e s t ə s	ʎ 'ə s t ə s
llestos	ʎ 'e s t o s	ʎ 'ə s t o s
lletges	ʎ 'e dʒ ə s	ʎ 'ə dʒ ə s
lletja	ʎ 'e dʒ ə	ʎ 'ə dʒ ə
lletjos	ʎ 'e dʒ o s	ʎ 'ə dʒ o s
lletsó	ʎ ə t s 'o	ʎ ə s 'o
lleva	ʎ 'e v ə	ʎ 'ə v ə
lleves	ʎ 'e v ə s	ʎ 'ə v ə s
llevo	ʎ 'e v o	ʎ 'ə v o
lloba	ʎ 'o β ə	ʎ 'o β ə
Llorach	ʎ o ɾ 'a k	ʎ o ɾ 'a k ə
lluitada	ʎ u j t 'a ð ə	ʎ u i t 'a ð ə
lluitades	ʎ u j t 'a ð ə s	ʎ u i t 'a ð ə s
lluitant	ʎ u j t 'a n t	ʎ u i t 'a n t
lluitar	ʎ u j t 'a	ʎ u i t 'a
lòbuls	l 'o β u l s	l o β 'u l s
Londres	l 'o n d ɾ ə s	l 'o n d ɾ ə s
loquaces	l o k w 'a s ə s	l o k 'a s ə s
luxe	l 'u t s ə	l 'u ʃ ə
ma	m 'ə	m ə
macedoni	m ə s ə ð 'o n i	m ə s ə ð 'o n i
madeixa	m ə ð 'e ʃ ə	m ə ð 'ə ʃ ə
Mahoma	m ə 'o m ə	m ə o m ə
mainada	m ə j n 'a ð ə	m ə i n 'a ð ə
malai	m ə l 'a j	m ə l 'a i
malais	m ə l 'a j s	m ə l 'a i s
Malàisia	m ə l 'a j z i ə	m ə l 'a i z i ə
Malawi	m ə l 'a β i	m ə l 'a i
maleïts	m ə l ə 'i t s	m ə l ə 'i s
maliciosa	m ə l i s i 'o z ə	m ə l i s i 'o s ə
malicioses	m ə l i s i 'o z ə s	m ə l i s i 'o s ə s
maliciosos	m ə l i s i 'o z o s	m ə l i s i 'o s o s
mallerenga	m ə ʎ ə ɾ 'ə ŋ g ə	m ə ʎ ə ɾ 'e ŋ g ə
malvendre	m ə l v 'e n d ɾ ə	m ə l v 'ə n d ɾ ə
malveure	m ə l v 'ə w ɾ ə	m ə l v 'e w ɾ ə
manifest	m ə n i f 'e s t	m ə n i f 'ə s t
manlleuta	m ə n ʎ 'e w t ə	m ə n ʎ ə 'u t ə
manxiula	m ə n ʃ 'i w l ə	m ə n ʃ 'i u l ə
màrqueting	m 'a ɾ k ə t i ŋ k	m ə ɾ k ə t 'i ŋ k
màser	m 'a z ə	m 'a z e 
mastegaparaules	m ə s t ə ɣ ə p ə ɾ 'a w l ə s	m ə s t ə ɣ ə p ə ɾ ə 'u l ə s
mastegatatxes	m ə s t ə ɣ ə t 'a tʃ ə s	m ə s t ə ɣ ə t 'a t ə s
Mateu	m ə t 'e w	m ə t 'e w
matusser	m ə t u s 'e	m ə t 'u s 'e
me	m 'ə	m ə
meandre	m e 'a n d ɾ ə	ə e 'a n d ɾ ə
meitat	m ə j t 'a t	m ə i t 'a t
melangia	m ə l ə n ʒ 'i ə	m ə l ə ŋ g 'i ə
membre	m 'e m b ɾ ə	m 'ə m b ɾ ə
membres	m 'e m b ɾ ə s	m 'ə m b ɾ ə s
mencionis	m ə n s i 'o n i s	m ə n s i 'o n i s
mengen	m 'e n ʒ ə n	m 'e n ʒ ə n
menges	m 'e n ʒ ə s	m 'e n ʒ ə s
menja	m 'e n ʒ ə	m 'ə n ʒ ə
menjo	m 'e n ʒ o	m 'ə n ʒ o
mènsula	m 'e n s u l ə	m 'ə n s u l ə
mènsules	m 'e n s u l ə s	m 'ə n s u l ə s
metge	m 'e dʒ ə	m 'ə dʒ ə
metges	m 'e dʒ ə s	m 'ə dʒ ə s
mètode	m 'e t o ð ə	m 'ə t o ð ə
metxa	m 'e tʃ ə	m 'ə tʃ ə
meua	m 'e w ə	m 'ə w ə
meus	m 'e w s	m 'ə w s
meva	m 'e v ə	m 'ə v ə
meves	m 'e v ə s	m 'ə v ə s
migcampista	m i k k ə m p 'i s t ə	m i ŋ k ə m p 'i s t ə
miositis	m i o z 'i t i s	m i o s 'i t i s
misàndria	m i z 'a n d ɾ i ə	m i z ə n d ɾ 'i ə
moc	m 'o k	m 'o k
Moisès	m o j z 'ə s	m o i s 'ə s
molsa	m 'o l s ə	m 'o l s ə
molts	m 'o l s	m 'o l t s
monàrquica	m o n 'a ɾ k i k ə	m o n ə ɾ k 'i k ə
monàrquics	m o n 'a ɾ k i t s	m o n ə ɾ k 'i t s
monocroma	m o n o k ɾ 'o m ə	m o n o k ɾ 'o m ə
monocromes	m o n o k ɾ 'o m ə s	m o n o k ɾ 'o m ə s
montrealès	m o n t ɾ e ə l 'ə s	m o n t ɾ ə ə l 'ə s
Montse	m 'o n s ə	m 'o n t s ə
Montseny	m o n s 'ə ɲ	m o n t s 'ə ɲ
monyeca	m o ɲ 'e k ə	m o ɲ 'ə k ə
morro	m 'o r o	m 'o r o
morros	m 'o r o s	m 'o r o s
mosaic	m o z 'a j k	m o z 'a i k
mosca	m 'o s k ə	m 'o s k ə
mosques	m 'o s k ə s	m 'o s k ə s
mossegaire	m o s ə ɣ 'a j ɾ ə	m o s ə ɣ ə 'i ɾ ə
mosso	m 'o s o	m 'o s o
mot	m 'o t	m 'o t
motlura	m o ʎ ʎ 'u ɾ ə	m o l l 'u ɾ ə
moto	m 'o t o	m 'o t o
motos	m 'o t o s	m 'o t o s
mudèjar	m u ð 'e ʒ ə	m u ð ə ʒ 'a
múrgola	m 'u ɾ ɣ o l ə	m u ɾ ɣ 'o l ə
nàufrag	n 'a w f ɾ ə k	n ə w f ɾ 'a k
nauseabund	n ə w z e ə β 'u n t	n ə w z ə ə β 'u n t
nauseabunda	n ə w z e ə β 'u n d ə	n ə w z ə ə β 'u n d ə
nauseabundes	n ə w z e ə β 'u n d ə s	n ə w z ə ə β 'u n d ə s
nauseabunds	n ə w z e ə β 'u n s	n ə w z ə ə β 'u n s
nàxer	n 'a t s ə	n 'a t s e 
neboda	n ə β 'o ð ə	n ə β 'o ð ə
nebot	n ə β 'o t	n ə β 'o t
neda	n 'e ð ə	n 'ə ð ə
neden	n 'e ð ə n	n 'ə ð ə n
nedes	n 'e ð ə s	n 'ə ð ə s
nega	n 'e ɣ ə	n 'ə ɣ ə
neguen	n 'e ɣ ə n	n 'e ɣ ə n
