A	'ə	ə
estrateg	ə s t ɾ ə t 'e k	ə s t ɾ ə t 'ə ʒ
estrènyer	ə s t ɾ 'ə ɲ ə	ə s t ɾ ə ɲ 'e 
ètnia	'e n n i ə	'ə n n i ə
eucaliptus	ə w k ə l 'i t t u s	ə w k ə l i t t 'u s
exceptuats	ə t s ə t t u 'a t s	ə t s ə t t u 'a s
Èxode	'e t s o ð ə	'ə t s o ð ə
èxode	'e t s o ð ə	'ə t s o ð ə
Fàbregas	f 'a β ɾ ə ɣ ə s	f ə β ɾ ə ɣ 'a s
fauna	f 'a w n ə	f ə 'u n ə
faune	f 'a w n ə	f ə 'u n ə
febre	f 'e β ɾ ə	f 'ə β ɾ ə
febres	f 'e β ɾ ə s	f 'ə β ɾ ə s
feinada	f ə j n 'a ð ə	f ə i n 'a ð ə
feinejar	f ə j n ə ʒ 'a	 f e i n ə ʒ 'a
feiner	f ə j n 'e	f ə i n 'e
fen	f 'e n	f 'ə n
fens	f 'ə n s	f 'e n s
Fes	f 'e s	f 'ə s
festa	f 'e s t ə	f 'ə s t ə
festaire	f ə s t 'a j ɾ ə	f ə s t 'a i ɾ ə
festes	f 'e s t ə s	f 'ə s t ə s
feta	f 'e t ə	f 'ə t ə
fetes	f 'e t ə s	f 'ə t ə s
fetge	f 'e dʒ ə	f 'ə dʒ ə
feyen	f 'ə j ə n	f ɲ ə n
fímbria	f 'i m b ɾ i ə	f i m b ɾ 'i ə
finestra	f i n 'e s t ɾ ə	f i n 'ə s t ɾ ə
flairar	f l ə j ɾ 'a	f l ə i ɾ 'a
flairat	f l ə j ɾ 'a t	f l ə i ɾ 'a t
flairats	f l ə j ɾ 'a t s	f l ə i ɾ 'a t s
fleca	f l 'e k ə	f l 'ə k ə
fletxa	f l 'e tʃ ə	f l 'ə tʃ ə
fletxes	f l 'e tʃ ə s	f l 'ə tʃ ə s
fonema	f o n 'e m ə	f o n 'ə m ə
formatget	f o ɾ m ə dʒ 'ə t	f o ɾ m ə tʃ 'ə t
fotovoltaiques	f o t o v o l t 'a j k ə s	f o t o v o l t 'a i k ə s
franctirador	f ɾ ə ŋ t t i ɾ ə ð 'o	f ɾ ə n s t i ɾ ə ð 'o
frecs	f ɾ 'e t s	f ɾ 'ə t s
fregapeus	f ɾ ə ɣ ə p 'e w s	f ɾ ə ɣ ə p ə 'u s
frenen	f ɾ 'e n ə n	f ɾ 'ə n ə n
frens	f ɾ 'ə n s	f ɾ 'e n s
fresi	f ɾ 'e z i	f ɾ 'ə z i
fresis	f ɾ 'e z i s	f ɾ 'ə z i s
fressin	f ɾ 'ə s i n	f ɾ 'e s i n
fúmer	f 'u m ə	f u m 'e 
gaia	g 'a j ə	g 'a i ə
gaiata	g ə j 'a t ə	g ə i 'a t ə
gaiato	g ə j 'a t o	g ə i 'a t o
gaies	g 'a j ə s	g 'a i ə s
gaire	g 'a j ɾ ə	g 'a i ɾ ə
gaires	g 'a j ɾ ə s	g 'a i ɾ ə s
gaita	g 'a j t ə	g 'a i t ə
gaiter	g ə j t 'e	g ə i t 'e
galindaina	g ə l i n d 'a j n ə	g ə l i n d 'a i n ə
galindaines	g ə l i n d 'a j n ə s	g ə l i n d 'a i n ə s
garriguenc	g ə r i ɣ 'ə ŋ k	g ə r i ɣ u 'e ŋ k
gasoil	g ə z 'o j l	g ə z o 'i l
gemma	ʒ 'e m m ə	ʒ 'ə m m ə
Gemma	ʒ 'e m m ə	ʒ 'ə m m ə
gemmes	ʒ 'e m m ə s	ʒ 'ə m m ə s
gènere	ʒ 'e n ə ɾ ə	ʒ 'ə n ə ɾ ə
Gènesi	ʒ 'e n ə z i	ʒ 'ə n ə z i
gènesi	ʒ 'e n ə z i	ʒ 'ə n ə z i
genísser	ʒ ə n 'i s ə	ʒ ə n i s 'e 
gespa	ʒ 'e s p ə	ʒ 'ə s p ə
gest	ʒ 'e s t	ʒ 'ə s t
gesta	ʒ 'e s t ə	ʒ 'ə s t ə
gesten	ʒ 'ə s t ə n	ʒ 'e s t ə n
gesto	ʒ 'ə s t o	ʒ 'e s t o
gimcana	ʒ i ŋ k 'a n ə	ʒ i m k 'a n ə
ginebra	ʒ i n 'e β ɾ ə	ʒ i n 'ə β ɾ ə
Ginebra	ʒ i n 'e β ɾ ə	ʒ i n 'ə β ɾ ə
ginesta	ʒ i n 'e s t ə	ʒ i n 'ə s t ə
girientorn	ʒ i ɾ i ə n t 'o n	ʒ i ɾ i ə n t 'o ɾ n
goècia	g o 'e s i ə	g o t s i ə
gorg	g 'o ɾ k	g 'o ɾ ə
grandiosa	g ɾ ə n d i 'o z ə	g ɾ ə n d i 'o s ə
gratuïts	g ɾ ə t u 'i t s	g ɾ ə t u 'i s
gregues	g ɾ 'ə ɣ ə s	g ɾ 'e ɣ ə s
guaiaba	g w ə j 'a β ə	g w ə i 'a β ə
guaita	g w 'a j t ə	g w ə 'i t ə
guaità	g w ə j t 'a	g w ə i t 'a
guaitar	g w ə j t 'a	g w ə i t 'a
guaitat	g w ə j t 'a t	g w ə i t 'a t
guaito	g w 'a j t o	g w 'a i t o
guatla	g w 'a l l ə	g w 'a t l ə
guèiser	g 'e j z ə	g 'ə i z ə
guerra	g 'e r ə	g w 'e r ə
guerxa	g 'e ɾ ʃ ə	g w 'e ɾ ʃ ə
guerxo	g 'e ɾ ʃ o	g w 'e ɾ ʃ o
guia	g 'i ə	g w 'i ə
guilla	g 'i ʎ ə	g w 'i ʎ ə
guinda	g 'i n d ə	g w 'i n d ə
guio	g 'i o	g w 'i o
guitza	g 'i d z ə	g w 'i d z ə
Gujarat	g u ʒ ə ɾ 'a t	g w ʒ ə ɾ 'a t
gujarati	g u ʒ ə ɾ 'a t i	g w ʒ ə ɾ 'a t i
gustatiu	g u s t ə t 'i w	g w s t ə t 'i w
gustatori	g u s t ə t 'o ɾ i	g w s t ə t 'o ɾ i
hàbitat	'a β i t ə t	a β i t 'a t
hàbitats	'a β i t ə t s	a β i t 'a t s
Hades	'a ð ə s	i 'a ð ə s
haguda	ə ɣ 'u ð ə	a ɣ 'u ð ə
hagudes	ə ɣ 'u ð ə s	a ɣ 'u ð ə s
hagut	ə ɣ 'u t	a ɣ 'u t
haguts	ə ɣ 'u t s	a ɣ 'u t s
Haia	'a j ə	a 'i ə
Hainan	ə j n 'a n	ə i n 'a n
Hainaut	ə j n 'a w t	ə i n ə 'u t
haver	ə v 'ə	ə v 'e
hebraic	ə β ɾ 'a j k	ə β ɾ 'a i k
Hècate	'e k ə t ə	e k 'a t ə
helicotrema	ə l i k o t ɾ 'e m ə	ə l i k o t ɾ 'ə m ə
Hèrcules	'e ɾ k u l ə s	ə ɾ k u l ə s
heroi	ə ɾ 'o j	ə ɾ 'o i
heroic	ə ɾ 'o j k	ə ɾ o 'i k
hèrptil	'e ɾ t t i l	e ɾ t t 'i l
heura	'e w ɾ ə	ə 'u ɾ ə
heure	'ə w ɾ ə	ə 'u ɾ ə
heus	'e w s	e 'u s
híbrid	'i β ɾ i t	ə β ɾ i t
hidroelèctrica	i ð ɾ o ə l 'e t t ɾ i k ə	i ð ɾ o ə l ə t t ɾ 'i k ə
hidroelèctrics	i ð ɾ o ə l 'e t t ɾ i t s	i ð ɾ o ə l ə t t ɾ 'i t s
hieràtic	j ə ɾ 'a t i k	i ə ɾ 'a t i k
hieràtics	j ə ɾ 'a t i t s	i ə ɾ 'a t i t s
higiene	i ʒ i 'e n ə	i ʒ i 'ə n ə
hipèrbaton	i p 'e ɾ β ə t o n	i p ə ɾ β ə t 'o n
hiperespai	i p ə ɾ ə s p 'a j	i p ə ɾ ə s p 'a i
hiperespais	i p ə ɾ ə s p 'a j s	i p ə ɾ ə s p 'a i s
home	'o m o	'o m ə
homes	'o m ə s	ə m ə s
hora	'o ɾ ə	ə ɾ ə
hores	'o ɾ ə s	ə ɾ ə s
hort	'o ɾ t	ə ɾ t
horta	'o ɾ t ə	ə ɾ t ə
hortènsia	o ɾ t 'e n s i ə	o ɾ t 'ə n s i ə
i	'i	i
iaia	j 'a j ə	i 'a j ə
iaies	j 'a j ə s	i 'a j ə s
iaio	j 'a j o	i 'a i o
iarda	j 'a ɾ ð ə	i 'a ɾ ð ə
idealisme	i ð e ə l 'i z m ə	i ð ə ə l 'i z m ə
idealista	i ð e ə l 'i s t ə	i ð ə ə l 'i s t ə
iemenita	j ə m ə n 'i t ə	i ə m ə n 'i t ə
immens	i m m 'ə n s	i m m 'e n s
imparell	i m p ə ɾ 'ə ʎ	i m p ə ɾ 'e ʎ
impermeable	i m p ə ɾ m e 'a b b l ə	i m p ə ɾ ə e 'a b b l ə
impermeables	i m p ə ɾ m e 'a b b l ə s	i m p ə ɾ ə e 'a b b l ə s
ímpetu	'i m p ə t u	i m p 'ə t 'u
indignada	i n d i n n 'a ð ə	i n d i ə n 'a ð ə
indignades	i n d i n n 'a ð ə s	i n d i ə n 'a ð ə s
indignar	i n d i n n 'a	i n d i ə n 'a
indistingible	i n d i s t i n ʒ 'i b b l ə	i n d i s t i ŋ g 'i b b l ə
indústria	i n d 'u s t ɾ i ə	i n d u s t ɾ 'i ə
ingent	i n ʒ 'e n t	i ŋ g 'e n t
ininterromput	i n i n t ə r o m p 'u t	i n i n t ə r 'o m p 'u t
insubstancial	i n s u p s t ə n s i 'a l	i n s u t s t ə n s i 'a l
intens	i n t 'ə n s	i n t 'e n s
intèrpret	i n t 'e ɾ p ɾ ə t	i n t ə ɾ p ɾ 'ə t
introduïts	i n t ɾ o ð u 'i t s	i n t ɾ o ð u 'i s
iònica	j 'o n i k ə	i 'o n i k ə
irremeiable	i r ə m ə j 'a b b l ə	i r ə m ə i 'a b b l ə
isòbar	i z 'o β ə	i z o β 'a
Ístria	'i s t ɾ i ə	i s t ɾ 'i ə
Iugoslàvia	j u ɣ o z l 'a v i ə	i w ɣ o z l 'a v i ə
jamai	ʒ ə m 'a j	ʒ ə m 'a i
jaquits	ʒ ə k 'i t s	ʒ ə k 'i s
jazz	ʒ 'a s	ʒ 'a z ə
jersei	ʒ ə ɾ s 'ə j	ʒ ə ɾ s 'ə i
Jesús	ʒ ə z 'u s	ʒ ə s 'u s
jeure	ʒ 'ə w ɾ ə	ʒ 'e w ɾ ə
joiós	ʒ o j 'o s	ʒ o i 'o s
jou	ʒ 'o w	ʒ 'o
jóvens	ʒ 'o v ə n s	ʒ o v 'e n s
juntaire	ʒ u n t 'a j ɾ ə	ʒ u n t 'a i ɾ ə
júnyer	ʒ 'u ɲ ə	ʒ u ɲ 'e 
kàiser	k 'a j z ə	k 'a i z ə
Kuwait	k u β 'a j t	k u β 'a i t
la	l 'ə	l ə
laiques	l 'a j k ə s	l 'a i k ə s
làser	l 'a z ə	l 'a z e 
lepra	l 'e p ɾ ə	l 'ə p ɾ ə
les	l 'ə s	l ə s
lèxica	l 'e t s i k ə	l 'ə t s i k ə
lèxiques	l 'e t s i k ə s	l 'ə t s i k ə s
líber	l 'i β ə	l 'i β e 
líder	l 'i ð ə	l 'i ð e 
linear	l i n e 'a	l i n ə 'a
liquar	l i k w 'a	l i k 'a
liquidàmbar	l i k i ð 'a m b ə	l i k i ð ə m b 'a
llarg	ʎ 'a ɾ k	ʎ 'a ɾ ə
llauna	ʎ 'a w n ə	ʎ ə 'u n ə
llebre	ʎ 'e β ɾ ə	ʎ 'ə β ɾ ə
llega	ʎ 'e ɣ ə	ʎ 'ə ɣ ə
Lleida	ʎ 'e j ð ə	ʎ 'ə j ð ə
lleixa	ʎ 'e ʃ ə	ʎ 'ə ʃ ə
llenci	ʎ 'e n s i	ʎ 'ə n s i
llencin	ʎ 'e n s i n	ʎ 'ə n s i n
llencis	ʎ 'e n s i s	ʎ 'ə n s i s
llenya	ʎ 'e ɲ ə	ʎ 'ə ɲ ə
llepa	ʎ 'e p ə	ʎ 'ə p ə
llepen	ʎ 'e p ə n	ʎ 'ə p ə n
llesta	ʎ 'e s t ə	ʎ 'ə s t ə
llestes	ʎ 'e s t ə s	ʎ 'ə s t ə s
llestos	ʎ 'e s t o s	ʎ 'ə s t o s
lletges	ʎ 'e dʒ ə s	ʎ 'ə dʒ ə s
lletja	ʎ 'e dʒ ə	ʎ 'ə dʒ ə
lletjos	ʎ 'e dʒ o s	ʎ 'ə dʒ o s
lletsó	ʎ ə t s 'o	ʎ ə s 'o
lleva	ʎ 'e v ə	ʎ 'ə v ə
lleves	ʎ 'e v ə s	ʎ 'ə v ə s
llevo	ʎ 'e v o	ʎ 'ə v o
Llorach	ʎ o ɾ 'a k	ʎ o ɾ 'a k ə
lluitada	ʎ u j t 'a ð ə	ʎ u i t 'a ð ə
lluitades	ʎ u j t 'a ð ə s	ʎ u i t 'a ð ə s
lluitant	ʎ u j t 'a n t	ʎ u i t 'a n t
lluitar	ʎ u j t 'a	ʎ u i t 'a
lòbuls	l 'o β u l s	l o β 'u l s
loquaces	l o k w 'a s ə s	l o k 'a s ə s
luxe	l 'u t s ə	l 'u ʃ ə
ma	m 'ə	m ə
madeixa	m ə ð 'e ʃ ə	m ə ð 'ə ʃ ə
Mahoma	m ə 'o m ə	m ə o m ə
mainada	m ə j n 'a ð ə	m ə i n 'a ð ə
malai	m ə l 'a j	m ə l 'a i
malais	m ə l 'a j s	m ə l 'a i s
Malàisia	m ə l 'a j z i ə	m ə l 'a i z i ə
Malawi	m ə l 'a β i	m ə l 'a i
maleïts	m ə l ə 'i t s	m ə l ə 'i s
maliciosa	m ə l i s i 'o z ə	m ə l i s i 'o s ə
malicioses	m ə l i s i 'o z ə s	m ə l i s i 'o s ə s
maliciosos	m ə l i s i 'o z o s	m ə l i s i 'o s o s
mallerenga	m ə ʎ ə ɾ 'ə ŋ g ə	m ə ʎ ə ɾ 'e ŋ g ə
malvendre	m ə l v 'e n d ɾ ə	m ə l v 'ə n d ɾ ə
malveure	m ə l v 'ə w ɾ ə	m ə l v 'e w ɾ ə
manifest	m ə n i f 'e s t	m ə n i f 'ə s t
manlleuta	m ə n ʎ 'e w t ə	m ə n ʎ ə 'u t ə
manxiula	m ə n ʃ 'i w l ə	m ə n ʃ 'i u l ə
màrqueting	m 'a ɾ k ə t i ŋ k	m ə ɾ k ə t 'i ŋ k
màser	m 'a z ə	m 'a z e 
mastegaparaules	m ə s t ə ɣ ə p ə ɾ 'a w l ə s	m ə s t ə ɣ ə p ə ɾ ə 'u l ə s
mastegatatxes	m ə s t ə ɣ ə t 'a tʃ ə s	m ə s t ə ɣ ə t 'a t ə s
matusser	m ə t u s 'e	m ə t 'u s 'e
me	m 'ə	m ə
meandre	m e 'a n d ɾ ə	ə e 'a n d ɾ ə
meitat	m ə j t 'a t	m ə i t 'a t
melangia	m ə l ə n ʒ 'i ə	m ə l ə ŋ g 'i ə
membre	m 'e m b ɾ ə	m 'ə m b ɾ ə
membres	m 'e m b ɾ ə s	m 'ə m b ɾ ə s
menja	m 'e n ʒ ə	m 'ə n ʒ ə
menjo	m 'e n ʒ o	m 'ə n ʒ o
mènsula	m 'e n s u l ə	m 'ə n s u l ə
mènsules	m 'e n s u l ə s	m 'ə n s u l ə s
metge	m 'e dʒ ə	m 'ə dʒ ə
metges	m 'e dʒ ə s	m 'ə dʒ ə s
mètode	m 'e t o ð ə	m 'ə t o ð ə
metxa	m 'e tʃ ə	m 'ə tʃ ə
meua	m 'e w ə	m 'ə w ə
meus	m 'e w s	m 'ə w s
meva	m 'e v ə	m 'ə v ə
meves	m 'e v ə s	m 'ə v ə s
migcampista	m i k k ə m p 'i s t ə	m i ŋ k ə m p 'i s t ə
miositis	m i o z 'i t i s	m i o s 'i t i s
misàndria	m i z 'a n d ɾ i ə	m i z ə n d ɾ 'i ə
Moisès	m o j z 'ə s	m o i s 'ə s
molts	m 'o l s	m 'o l t s
monàrquica	m o n 'a ɾ k i k ə	m o n ə ɾ k 'i k ə
monàrquics	m o n 'a ɾ k i t s	m o n ə ɾ k 'i t s
montrealès	m o n t ɾ e ə l 'ə s	m o n t ɾ ə ə l 'ə s
Montse	m 'o n s ə	m 'o n t s ə
Montseny	m o n s 'ə ɲ	m o n t s 'ə ɲ
monyeca	m o ɲ 'e k ə	m o ɲ 'ə k ə
mosaic	m o z 'a j k	m o z 'a i k
mossegaire	m o s ə ɣ 'a j ɾ ə	m o s ə ɣ ə 'i ɾ ə
motlura	m o ʎ ʎ 'u ɾ ə	m o l l 'u ɾ ə
mudèjar	m u ð 'e ʒ ə	m u ð ə ʒ 'a
múrgola	m 'u ɾ ɣ o l ə	m u ɾ ɣ 'o l ə
nàufrag	n 'a w f ɾ ə k	n ə w f ɾ 'a k
nauseabund	n ə w z e ə β 'u n t	n ə w z ə ə β 'u n t
nauseabunda	n ə w z e ə β 'u n d ə	n ə w z ə ə β 'u n d ə
nauseabundes	n ə w z e ə β 'u n d ə s	n ə w z ə ə β 'u n d ə s
nauseabunds	n ə w z e ə β 'u n s	n ə w z ə ə β 'u n s
nàxer	n 'a t s ə	n 'a t s e 
neda	n 'e ð ə	n 'ə ð ə
neden	n 'e ð ə n	n 'ə ð ə n
nedes	n 'e ð ə s	n 'ə ð ə s
nega	n 'e ɣ ə	n 'ə ɣ ə
néixer	n 'e ʃ ə	n ə ʃ 'e 
Nèmesi	n 'e m ə z i	n 'ə m ə z i
nens	n 'ə n s	n 'e n s
neulir	n ə w l 'i	n ə u l 'i
neva	n 'e v ə	n 'ə v ə
nicens	n i s 'ə n s	n i s 'e n s
noieta	n o j 'ə t ə	n o i 'ə t ə
noucentisme	n o w s ə n t 'i z m ə	n o u s ə n t 'i z m ə
nouguerola	n o w ɣ ə ɾ 'o l ə	n o u ɣ ə ɾ 'o l ə
novembre	n o v 'e m b ɾ ə	n o v 'ə m b ɾ ə
noya	n 'o j ə	n 'o ə
oasi	o 'a z i	o 'a s i
obeïts	o β ə 'i t s	o β ə 'i s
obliquar	o β l i k w 'a	o β l i k 'a
obstacle	o p s t 'a k l ə	o t s t 'a k l ə
obstinació	o p s t i n ə s i 'o	o t s t i n ə s i 'o
obstruïda	o p s t ɾ u 'i ð ə	o t s t ɾ u 'i ð ə
obstruïdes	o p s t ɾ u 'i ð ə s	o t s t ɾ u 'i ð ə s
ofego	o f 'ə ɣ o	o f 'e ɣ o
ofegues	o f 'ə ɣ ə s	o f 'e ɣ ə s
ofèn	o f 'ə n	o f 'e n
oidà	o j ð 'a	o i ð 'a
oïts	o 'i t s	o 'i s
oligàrquica	o l i ɣ 'a ɾ k i k ə	o l i ɣ ə ɾ k 'i k ə
oligàrquics	o l i ɣ 'a ɾ k i t s	o l i ɣ ə ɾ k 'i t s
orella	o ɾ 'ə ʎ ə	o ɾ 'e ʎ ə
orenga	o ɾ 'ə ŋ g ə	o ɾ 'e ŋ g ə
Òscar	'o s k ə	o s k 'a
òstria	'o s t ɾ i ə	o s t ɾ 'i ə
ou	'o w	'o
ovella	o v 'ə ʎ ə	o v 'e ʎ ə
ovelles	o v 'ə ʎ ə s	o v 'e ʎ ə s
paio	p 'a j o	p 'a i o
pairal	p ə j ɾ 'a l	p ə i ɾ 'a l
paisatge	p ə j z 'a dʒ ə	p ə i z 'a dʒ ə
païts	p ə 'i t s	p ə 'i s
Pakistan	p ə k i s t 'a n	p ə z i s t 'a n
pakistanès	p ə k i s t ə n 'ə s	p ə z i s t ə n 'ə s
pakistanesa	p ə k i s t ə n 'ə z ə	p ə z i s t ə n 'ə z ə
pakistaneses	p ə k i s t ə n 'ə z ə s	p ə z i s t ə n 'ə z ə s
pakistanesos	p ə k i s t ə n 'ə z o s	p ə z i s t ə n 'ə z o s
palaí	p ə l ə 'i	p ə l 'a
papagai	p ə p ə ɣ 'a j	p ə p ə ɣ 'a i
papiroflèxia	p ə p i ɾ o f l 'e t s i ə	p ə p i ɾ o f l 'ə t s i ə
paranoic	p ə ɾ ə n 'o j k	p ə ɾ ə n o 'i k
paraula	p ə ɾ 'a w l ə	p ə ɾ ə 'u l ə
parell	p ə ɾ 'ə ʎ	p ə ɾ 'e ʎ
parella	p ə ɾ 'ə ʎ ə	p ə ɾ 'e ʎ ə
parènquima	p ə ɾ 'ə ŋ k i m ə	p ə ɾ ə ŋ k 'i m ə
parer	p ə ɾ 'ə	p ə ɾ 'e
parisenc	p ə ɾ i z 'ə ŋ k	p ə ɾ i s 'ə ŋ k
parlotaire	p ə ɾ l o t 'a j ɾ ə	p ə ɾ l o t 'a i ɾ ə
pàrquing	p 'a ɾ k i ŋ k	p ə ɾ k 'i ŋ k
pasqüeta	p ə s k w 'ə t ə	p ə z ə w 'ə t ə
patogènesi	p ə t o ʒ 'e n ə z i	p ə t o ʒ 'ə n ə z i
peatge	p e 'a dʒ ə	p ə 'a dʒ ə
pedra	p 'e ð ɾ ə	p 'ə ð ɾ ə
pedres	p 'e ð ɾ ə s	p 'ə ð ɾ ə s
pego	p 'e ɣ o	p 'ə ɣ o
péixer	p 'e ʃ ə	p ə ʃ 'e 
peixos	p 'e ʃ o s	p 'ə ʃ o s
pèl	p 'ə l	p 'e l
penetra	p ə n 'e t ɾ ə	p ə n 'ə t ɾ ə
penja	p 'e n ʒ ə	p 'ə n ʒ ə
pens	p 'ə n s	p 'e n s
pèr	p 'e	p 'ə
pera	p 'ə ɾ ə	p 'e ɾ ə
peres	p 'ə ɾ ə s	p 'e ɾ ə s
perilloses	p ə ɾ i ʎ 'o z ə s	p ə ɾ i ʎ 'o s ə s
peritoneal	p ə ɾ i t o n e 'a l	p ə ɾ i t o n ə 'a l
peritoneals	p ə ɾ i t o n e 'a l s	p ə ɾ i t o n ə 'a l s
peritoneus	p ə ɾ i t o n 'e w s	p ə ɾ i t o n ə 'u s
permeable	p ə ɾ m e 'a b b l ə	p ə ɾ ə e 'a b b l ə
permeables	p ə ɾ m e 'a b b l ə s	p ə ɾ ə e 'a b b l ə s
perpetu	p ə ɾ p 'e t u	p ə ɾ p 'ə t u
perpetuats	p ə ɾ p ə t u 'a t s	p ə ɾ p ə t u 'a s
perseguits	p ə ɾ s ə ɣ 'i t s	p ə ɾ s ə ɣ 'i s
persignada	p ə ɾ s i n n 'a ð ə	p ə ɾ s i ə n 'a ð ə
persignades	p ə ɾ s i n n 'a ð ə s	p ə ɾ s i ə n 'a ð ə s
persignar	p ə ɾ s i n n 'a	p ə ɾ s i ə n 'a
persignat	p ə ɾ s i n n 'a t	p ə ɾ s i ə n 'a t
persignats	p ə ɾ s i n n 'a t s	p ə ɾ s i ə n 'a t s
persuasiu	p ə ɾ s u ə z 'i w	p ə ɾ s u ə s 'i w
pertànyer	p ə ɾ t 'a ɲ ə	p ə ɾ t 'a ɲ e 
pesa	p 'e z ə	p 'ə z ə
pesen	p 'e z ə n	p 'ə z ə n
peses	p 'e z ə s	p 'ə z ə s
pessebre	p ə s 'e β ɾ ə	p ə s 'ə β ɾ ə
petges	p 'e dʒ ə s	p 'ə dʒ ə s
petja	p 'e dʒ ə	p 'ə dʒ ə
pidgin	p 'i dʒ i n	p 'i ð ʒ i n
pigarg	p i ɣ 'a ɾ k	p i ɣ 'a ɾ ə
pigment	p i m m 'e n t	p i ə m 'e n t
pintaungles	p i n t 'a w ŋ g l ə s	p i n t 'a u ŋ g l ə s
Pitiüses	p i t i 'u z ə s	p i t i 'u s ə s
piulada	p i w l 'a ð ə	p i u l 'a ð ə
piular	p i w l 'a	p i u l 'a
pixades	p i ʃ 'a ð ə s	p i t s 'a ð ə s
plaer	p l ə 'ə	p l ə 'e
plàncton	p l 'a ŋ t t o n	p l ə n s t 'o n
plànyer	p l 'a ɲ ə	p l 'a ɲ e 
plegues	p l 'ə ɣ ə s	p l 'e ɣ ə s
plens	p l 'ə n s	p l 'e n s
pneumàtic	n ə w m 'a t i k	p n ə w m 'a t i k
pneumàtica	n ə w m 'a t i k ə	p n ə w m 'a t i k ə
pneumàtics	n ə w m 'a t i t s	p n ə w m 'a t i t s
pneumònia	n ə w m 'o n i ə	p n ə w m 'o n i ə
poesia	p o ə z 'i ə	p o ə s 'i ə
posseïts	p o s ə 'i t s	p o s ə 'i s
precursor	p ɾ ə k u ɾ s 'o	p ɾ ə k u s 'o
precursora	p ɾ ə k u ɾ s 'o ɾ ə	p ɾ ə k u s 'o ɾ ə
precursores	p ɾ ə k u ɾ s 'o ɾ ə s	p ɾ ə k u s 'o ɾ ə s
prega	p ɾ 'e ɣ ə	p ɾ 'ə ɣ ə
prego	p ɾ 'e ɣ o	p ɾ 'ə ɣ o
prémer	p ɾ 'e m ə	p ɾ ə m 'e 
premsa	p ɾ 'e n s ə	p ɾ 'ə m z ə
prens	p ɾ 'ə n s	p ɾ 'e n s
presta	p ɾ 'e s t ə	p ɾ 'ə s t ə
presten	p ɾ 'e s t ə n	p ɾ 'ə s t ə n
prestes	p ɾ 'e s t ə s	p ɾ 'ə s t ə s
presto	p ɾ 'e s t o	p ɾ 'ə s t o
presumpció	p ɾ ə z u m s i 'o	p ɾ ə z u m p s i 'o
pretendre	p ɾ ə t 'e n d ɾ ə	p ɾ ə t 'ə n d ɾ ə
prevenda	p ɾ ə v 'ə n d ə	p ɾ ə v 'e n d ə
preveure	p ɾ ə v 'ə w ɾ ə	p ɾ ə v 'e w ɾ ə
prínceps	p ɾ 'i n s ə t s	p ɾ i n s 'ə t s
problema	p ɾ o β l 'e m ə	p ɾ o β l 'ə m ə
produïts	p ɾ o ð u 'i t s	p ɾ o ð u 'i s
prohom	p ɾ o 'o m	p ɾ o 'a m
prolixa	p ɾ o l 'i ʃ ə	p ɾ o l 'i t s ə
prosseguits	p ɾ o s ə ɣ 'i t s	p ɾ o s ə ɣ 'i s
protesta	p ɾ o t 'e s t ə	p ɾ o t 'ə s t ə
proveïts	p ɾ o v ə 'i t s	p ɾ o v ə 'i s
pseudònim	s ə w ð 'o n i m	t s ə w ð 'o n i m
pseudòpode	s ə w ð 'o p o ð ə	t s ə w ð 'o p o ð ə
pugnada	p u n n 'a ð ə	p u ə n 'a ð ə
pugnades	p u n n 'a ð ə s	p u ə n 'a ð ə s
pugnar	p u n n 'a	p u ə n 'a
púlsar	p 'u l s ə	p u l s 'a
queixa	k 'e ʃ ə	k 'ə ʃ ə
queixo	k 'e ʃ o	k 'ə ʃ o
rabassaire	r ə β ə s 'a j ɾ ə	r ə β ə s 'a i ɾ ə
raima	r 'a j m ə	r 'a i m ə
re	r 'ə	r ə
reaparegut	r e ə p ə ɾ ə ɣ 'u t	r ə ə p ə ɾ ə ɣ 'u t
reapareguts	r e ə p ə ɾ ə ɣ 'u t s	r ə ə p ə ɾ ə ɣ 'u t s
reaparèixer	r e ə p ə ɾ 'ə ʃ ə	r ə ə p ə ɾ 'ə ʃ ə
reconstruïts	r ə k o n s t ɾ u 'i t s	r ə k o n s t ɾ u 'i s
rècord	r 'ə k o ɾ t	r 'e k o ɾ t
recreatiu	r ə k ɾ e ə t 'i w	r ə k ɾ ə ə t 'i w
redempció	r ə ð ə m s i 'o	r ə ð ə m p s i 'o
reduïts	r ə ð u 'i t s	r ə ð u 'i s
refet	r ə f 'e t	r ə f 'ə t
refeta	r ə f 'e t ə	r ə f 'ə t ə
refringir	r ə f ɾ i n ʒ 'i	r ə f ɾ i ŋ g 'i
règies	r 'ə ʒ i ə s	r 'e ʒ i ə s
règim	r 'ə ʒ i m	r 'e ʒ i m
regla	r 'e g g l ə	r 'ə g g l ə
regles	r 'e g g l ə s	r 'e ɣ l ə s
regna	r 'e n n ə	r 'ə n n ə
regne	r 'e n n ə	r 'ə n n ə
regnen	r 'e n n ə n	r 'ə n n ə n
regnes	r 'e n n ə s	r 'ə n n ə s
reialme	r ə j 'a l m ə	r ə i 'a l m ə
reiet	r ə j 'ə t	r ə i 'ə t
reietó	r ə j ə t 'o	r ə i ə t 'o
reiteració	r ə i t ə ɾ ə s i 'o	r ə j t ə ɾ ə s i 'o
